full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.85,4328,4328,4328,4328,283.696,351.926,283.533,350.976,293.425,347.411,306.1,346.517,0.947,0.756,0.846,0.852,0.85,0.801,1,1,1,1
0.85,3159,3159,3159,3159,437.213,430.216,437.213,430.216,437.213,430.216,437.213,430.216,0.913,0.835,0.802,0.874,0.85,0.818,0,0,0,0
0.85,3743,3743,3743,3743,137.191,41.028,139.581,41.452,139.042,48.082,132.041,36.496,0.903,0.896,0.751,0.9,0.85,0.823,0,0,0,0
0.85,4485,4485,4485,4485,53.99,448.932,54.627,450.81,54.773,450.681,55.196,450.511,0.823,0.84,0.886,0.831,0.85,0.863,0,0,0,0
0.849,5578,5578,5578,5578,305.767,395.999,310.455,393.431,308.742,388.693,300.302,389.873,0.793,0.914,0.84,0.854,0.849,0.877,0,0,0,0
0.849,2992,2992,2992,2992,259.525,429.151,261.177,426.004,261.864,425.069,261.952,425.376,0.815,0.826,0.908,0.82,0.849,0.867,0,0,0,0
0.849,2946,2946,2946,2946,41.98,377.821,38.396,383.342,34.684,385.817,37.327,387.519,0.875,0.84,0.834,0.857,0.849,0.837,0,0,0,0
0.849,2878,2878,2878,2878,325.813,399.042,333.7,396.164,335.605,396.07,335.692,396.13,0.864,0.818,0.866,0.841,0.849,0.842,0,0,0,0
0.849,2563,2563,2563,2563,345.765,430.774,345.567,429.129,344.781,428.074,343.22,426.684,0.791,0.849,0.906,0.82,0.849,0.877,0,0,0,0
0.849,1476,1476,1476,1476,16.115,427.721,16.453,428.325,16.453,428.325,16.453,428.325,0.905,0.816,0.825,0.86,0.849,0.82,0,0,0,0
0.849,5161,5161,5161,5161,254.379,435.782,256.821,435.641,255.108,433.897,252.054,432.566,0.873,0.868,0.805,0.871,0.849,0.837,0,0,0,0
0.848,2815,2815,2815,2815,316.671,182.75,322.004,188.007,334.18,179.419,325.875,172.166,0.844,0.89,0.81,0.867,0.848,0.85,1,1,1,1
0.848,5213,5213,5213,5213,204.724,374.762,202.083,372.46,201.777,367.293,191.562,369.255,0.854,0.817,0.872,0.836,0.848,0.845,0,0,0,0
0.848,2002,2002,2002,2002,349.771,329.022,354.649,332.615,361.644,331.606,370.83,334.722,0.806,0.883,0.853,0.845,0.848,0.868,1,1,1,1
0.848,5711,5711,5711,5711,432.397,303.93,437.504,307.484,438.471,307.051,438.471,307.051,0.847,0.825,0.872,0.836,0.848,0.849,0,0,0,0
0.848,5978,5978,5978,5978,479.307,179.544,479.284,179.429,478.606,176.541,478.604,176.446,0.948,0.769,0.826,0.859,0.848,0.797,0,0,0,0
0.848,4752,4752,4752,4752,154.851,471.296,146.918,475.12,146.276,475.456,146.692,474.614,0.755,0.869,0.921,0.812,0.848,0.895,0,0,0,0
0.848,5995,5995,5995,5995,272.73,456.645,274.131,456.533,274.159,456.246,273.354,455.413,0.885,0.764,0.896,0.825,0.848,0.83,0,0,0,0
0.847,5483,5483,5483,5483,467.342,479.806,467.342,479.806,467.342,479.806,467.342,479.806,0.851,0.842,0.848,0.846,0.847,0.845,0,0,0,0
0.847,918,918,918,918,155.874,451.804,149.798,453.362,149.987,452.888,150.996,451.048,0.76,0.943,0.837,0.851,0.847,0.89,1,1,1,1
0.847,5755,5755,5755,5755,393.695,132.119,390.937,130.353,389.543,126.337,385.698,113.203,0.973,0.824,0.744,0.899,0.847,0.784,0,0,0,0
0.847,3822,3822,3822,3822,405.39,252.149,403.747,251.925,405.076,250.538,400.906,250.314,0.892,0.845,0.805,0.868,0.847,0.825,1,1,1,1
0.847,5509,5509,5509,5509,434.206,166.105,434.367,165.173,438.622,167.034,443.708,162.474,0.888,0.834,0.818,0.861,0.847,0.826,1,1,1,1
0.847,4871,4871,4871,4871,292.52,374.446,294.434,375.124,291.513,376.798,288.484,377.558,0.853,0.874,0.814,0.863,0.847,0.844,0,0,0,0
0.846,5754,5754,5754,5754,85.654,422.619,85.654,422.619,85.842,422.597,86.074,422.503,0.94,0.903,0.695,0.922,0.846,0.799,1,1,1,1
0.846,4439,4439,4439,4439,251.35,418.859,252.52,419.327,249.879,418.437,245.624,418.728,0.853,0.825,0.861,0.839,0.846,0.843,0,0,0,0
0.846,5787,5787,5787,5787,101.734,29.04,87.778,26.772,85.673,14.409,84.891,13.701,0.788,0.865,0.884,0.827,0.846,0.875,1,1,1,1
0.846,3513,3513,3513,3513,234.736,452.322,235.35,451.68,239.189,452.089,240.984,450.203,0.899,0.824,0.814,0.862,0.846,0.819,0,0,0,0
0.846,5106,5106,5106,5106,326.956,347.293,326.397,346.361,330.269,345.703,331.282,346.418,0.871,0.841,0.827,0.856,0.846,0.834,0,0,0,0
0.846,494,494,494,494,472.526,351.548,471.392,352.941,470.603,355.764,470.603,355.801,0.894,0.781,0.861,0.838,0.846,0.821,0,0,0,0
0.846,4928,4928,4928,4928,329.423,463.358,329.268,461.712,329.235,461.576,329.235,461.576,0.859,0.911,0.769,0.885,0.846,0.84,0,0,0,0
0.845,4842,4842,4842,4842,425.384,189.403,417.474,187.364,418.492,174.65,417.155,168.415,0.808,0.835,0.892,0.822,0.845,0.864,0,0,0,0
0.845,2511,2511,2511,2511,184.552,467.241,185.378,465.869,185.474,469.881,185.672,467.928,0.869,0.788,0.879,0.829,0.845,0.833,1,1,1,1
0.845,820,820,820,820,302.045,45.437,295.362,48.923,297.126,48.341,306.237,45.405,0.839,0.869,0.829,0.854,0.845,0.849,0,0,0,0
