full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.779,274,274,274,274,412.511,469.441,412.511,469.441,412.511,469.441,412.511,469.441,0.718,0.744,0.874,0.731,0.779,0.809,1,1,1,1
0.712,275,275,275,275,396.129,446.669,395.039,445.777,395.039,445.777,395.039,445.777,0.763,0.735,0.636,0.749,0.712,0.686,0,0,0,0
0.678,276,276,276,276,177.775,139.936,184.636,124.116,175.822,110.777,156.129,99.267,0.699,0.716,0.621,0.707,0.678,0.668,0,0,0,0
0.769,277,277,277,277,421.14,380.839,419.449,380.574,419.449,380.574,419.449,380.574,0.901,0.695,0.712,0.798,0.769,0.703,0,0,0,0
0.558,278,278,278,278,189.414,190.531,165.599,169.858,169.944,145.205,167.72,112.722,0.615,0.546,0.512,0.58,0.558,0.529,0,0,0,0
0.562,281,2079,2079,2079,13.575,335.307,15.304,339.744,13.908,344.065,13.626,360.006,0.155,0.755,0.775,0.455,0.562,0.765,0,0,0,0
0.695,282,282,282,282,184.946,159.785,169.452,147.839,162.332,141.036,143.607,125.932,0.513,0.88,0.692,0.696,0.695,0.786,3,3,3,3
0.599,283,283,283,283,196.692,237.123,191.59,192.771,225.911,183.694,216.328,188.177,0.509,0.605,0.684,0.557,0.599,0.644,0,0,0,0
0.673,284,284,284,284,419.052,182.306,421.912,183.428,420.038,181.782,415.651,183.27,0.897,0.521,0.602,0.709,0.673,0.562,0,0,0,0
0.582,285,285,285,285,210.508,174.948,216.332,174.293,204.399,151.988,231.112,169.35,0.563,0.556,0.628,0.56,0.582,0.592,0,0,0,0
0.813,286,286,286,286,367.375,267.891,361.829,271.242,361.32,273.066,364.123,274.977,0.84,0.812,0.787,0.826,0.813,0.8,0,0,0,0
0.745,288,288,288,288,359.132,259.242,366.34,261.173,364.04,265.297,363.677,266.116,0.821,0.637,0.778,0.729,0.745,0.707,0,0,0,0
0.616,289,289,289,289,297.05,202.579,289.797,202.553,287.39,210.706,287.285,215.737,0.541,0.554,0.754,0.547,0.616,0.654,0,0,0,0
0.678,290,290,290,290,372.869,125.341,362.389,120.62,367.233,114.115,361.203,117.625,0.774,0.744,0.517,0.759,0.678,0.63,0,0,0,0
0.865,291,291,291,291,476.63,155.184,476.63,155.184,475.626,155.085,475.626,155.085,0.88,0.95,0.765,0.915,0.865,0.857,2,2,2,2
0.712,292,292,292,292,389.87,224.352,386.037,220.717,390.994,219.852,392.507,224.687,0.77,0.704,0.662,0.737,0.712,0.683,0,0,0,0
0.745,293,293,293,293,43.77,257.031,46.256,249.053,39.821,250.007,34.333,256.473,0.801,0.762,0.673,0.782,0.745,0.717,0,0,0,0
0.665,294,294,294,294,16.62,249.589,16.895,248.549,18.537,246.848,17.239,245.153,0.635,0.694,0.667,0.664,0.665,0.68,0,0,0,0
0.752,295,295,295,295,314.78,287.117,326.633,287.377,340.242,290.571,333.402,282.106,0.782,0.663,0.813,0.722,0.752,0.738,0,0,0,0
0.732,296,296,296,296,327.797,71.864,328.743,77.79,324.016,90.522,319.799,85.644,0.771,0.684,0.741,0.728,0.732,0.713,1,1,1,1
0.743,297,297,297,297,361.883,341.781,361.087,342.605,364.334,348.093,367.725,339.801,0.782,0.656,0.792,0.719,0.743,0.724,0,0,0,0
0.793,298,298,298,298,39.75,387.699,31.835,390.914,28.106,395.334,27.205,395.942,0.798,0.858,0.725,0.828,0.793,0.791,0,0,0,0
